   k      z      dz     pres   presi   Tabs     tp     tpl      qt      Qc     Qi    REL
 243  1617.50    5.00  849.65  849.90  285.37  298.97  298.97  6.5429  0.0000  0.0000   61.82
 242  1612.50    5.00  850.15  850.41  285.39  298.94  298.94  6.5569  0.0000  0.0000   61.90
 241  1607.50    5.00  850.66  850.91  285.41  298.91  298.91  6.5710  0.0000  0.0000   61.99
 240  1602.50    5.00  851.17  851.42  285.43  298.88  298.88  6.5851  0.0000  0.0000   62.07
 239  1597.50    5.00  851.68  851.93  285.45  298.85  298.85  6.5992  0.0000  0.0000   62.15
 238  1592.50    5.00  852.18  852.44  285.47  298.83  298.83  6.6132  0.0000  0.0000   62.23
 237  1587.50    5.00  852.69  852.95  285.49  298.80  298.80  6.6273  0.0000  0.0000   62.32
 236  1582.50    5.00  853.20  853.46  285.51  298.77  298.77  6.6414  0.0000  0.0000   62.41
 235  1577.50    5.00  853.71  853.96  285.53  298.74  298.74  6.6554  0.0000  0.0000   62.49
 234  1572.50    5.00  854.22  854.47  285.55  298.71  298.71  6.6695  0.0000  0.0000   62.58
 233  1567.50    5.00  854.73  854.98  285.57  298.68  298.68  6.6835  0.0000  0.0000   62.67
 232  1562.50    5.00  855.24  855.49  285.59  298.65  298.65  6.6976  0.0000  0.0000   62.76
 231  1557.50    5.00  855.75  856.00  285.61  298.62  298.62  6.7117  0.0000  0.0000   62.84
 230  1552.50    5.00  856.26  856.51  285.63  298.58  298.58  6.7257  0.0000  0.0000   62.93
 229  1547.50    5.00  856.77  857.02  285.65  298.55  298.55  6.7398  0.0000  0.0000   63.01
 228  1542.50    5.00  857.28  857.53  285.67  298.52  298.52  6.7539  0.0000  0.0000   63.10
 227  1537.50    5.00  857.79  858.05  285.69  298.49  298.49  6.7679  0.0000  0.0000   63.19
 226  1532.50    5.00  858.30  858.56  285.71  298.46  298.46  6.7820  0.0000  0.0000   63.27
 225  1527.50    5.00  858.81  859.07  285.73  298.43  298.43  6.7961  0.0000  0.0000   63.36
 224  1522.50    5.00  859.32  859.58  285.75  298.40  298.40  6.8101  0.0000  0.0000   63.44
 223  1517.50    5.00  859.84  860.09  285.77  298.37  298.37  6.8242  0.0000  0.0000   63.53
 222  1512.50    5.00  860.35  860.60  285.79  298.34  298.34  6.8382  0.0000  0.0000   63.61
 221  1507.50    5.00  860.86  861.12  285.81  298.31  298.31  6.8523  0.0000  0.0000   63.70
 220  1502.50    5.00  861.37  861.63  285.83  298.28  298.28  6.8664  0.0000  0.0000   63.78
 219  1497.50    5.00  861.89  862.14  285.85  298.25  298.25  6.8804  0.0000  0.0000   63.87
 218  1492.50    5.00  862.40  862.66  285.87  298.22  298.22  6.8945  0.0000  0.0000   63.95
 217  1487.50    5.00  862.91  863.17  285.89  298.19  298.19  6.9086  0.0000  0.0000   64.04
 216  1482.50    5.00  863.43  863.68  285.91  298.16  298.16  6.9226  0.0000  0.0000   64.12
 215  1477.50    5.00  863.94  864.20  285.93  298.13  298.13  6.9367  0.0000  0.0000   64.21
 214  1472.50    5.00  864.46  864.71  285.95  298.10  298.10  6.9507  0.0000  0.0000   64.29
 213  1467.50    5.00  864.97  865.23  285.97  298.07  298.07  6.9648  0.0000  0.0000   64.38
 212  1462.50    5.00  865.48  865.74  285.99  298.04  298.04  6.9789  0.0000  0.0000   64.46
 211  1457.50    5.00  866.00  866.26  286.01  298.01  298.01  6.9929  0.0000  0.0000   64.55
 210  1452.50    5.00  866.52  866.77  286.02  297.98  297.98  7.0070  0.0000  0.0000   64.63
 209  1447.50    5.00  867.03  867.29  286.04  297.95  297.95  7.0211  0.0000  0.0000   64.71
 208  1442.50    5.00  867.55  867.81  286.06  297.92  297.92  7.0351  0.0000  0.0000   64.80
 207  1437.50    5.00  868.06  868.32  286.08  297.89  297.89  7.0492  0.0000  0.0000   64.88
 206  1432.50    5.00  868.58  868.84  286.10  297.86  297.86  7.0633  0.0000  0.0000   64.96
 205  1427.50    5.00  869.10  869.36  286.12  297.83  297.83  7.0773  0.0000  0.0000   65.05
 204  1422.50    5.00  869.61  869.87  286.14  297.80  297.80  7.0914  0.0000  0.0000   65.13
 203  1417.50    5.00  870.13  870.39  286.16  297.77  297.77  7.1054  0.0000  0.0000   65.21
 202  1412.50    5.00  870.65  870.91  286.18  297.74  297.74  7.1195  0.0000  0.0000   65.30
 201  1407.50    5.00  871.17  871.43  286.20  297.71  297.71  7.1336  0.0000  0.0000   65.38
 200  1402.50    5.00  871.68  871.94  286.22  297.68  297.68  7.1476  0.0000  0.0000   65.46
 199  1397.50    5.00  872.20  872.46  286.24  297.65  297.65  7.1617  0.0000  0.0000   65.54
 198  1392.50    5.00  872.72  872.98  286.26  297.62  297.62  7.1758  0.0000  0.0000   65.63
 197  1387.50    5.00  873.24  873.50  286.28  297.59  297.59  7.1898  0.0000  0.0000   65.71
 196  1382.50    5.00  873.76  874.02  286.30  297.56  297.56  7.2039  0.0000  0.0000   65.79
 195  1377.50    5.00  874.28  874.54  286.32  297.53  297.53  7.2179  0.0000  0.0000   65.87
 194  1372.50    5.00  874.80  875.06  286.34  297.50  297.50  7.2320  0.0000  0.0000   65.96
 193  1367.50    5.00  875.32  875.58  286.36  297.47  297.47  7.2461  0.0000  0.0000   66.04
 192  1362.50    5.00  875.84  876.10  286.38  297.44  297.44  7.2601  0.0000  0.0000   66.12
 191  1357.50    5.00  876.36  876.62  286.40  297.41  297.41  7.2742  0.0000  0.0000   66.20
 190  1352.50    5.00  876.88  877.14  286.42  297.38  297.38  7.2883  0.0000  0.0000   66.28
 189  1347.50    5.00  877.40  877.66  286.44  297.35  297.35  7.3023  0.0000  0.0000   66.37
 188  1342.50    5.00  877.92  878.18  286.46  297.32  297.32  7.3164  0.0000  0.0000   66.45
 187  1337.50    5.00  878.44  878.71  286.48  297.29  297.29  7.3305  0.0000  0.0000   66.53
 186  1332.50    5.00  878.97  879.23  286.50  297.26  297.26  7.3445  0.0000  0.0000   66.61
 185  1327.50    5.00  879.49  879.75  286.52  297.23  297.23  7.3586  0.0000  0.0000   66.69
 184  1322.50    5.00  880.01  880.27  286.54  297.20  297.20  7.3726  0.0000  0.0000   66.77
 183  1317.50    5.00  880.53  880.79  286.56  297.17  297.17  7.3867  0.0000  0.0000   66.85
 182  1312.50    5.00  881.06  881.32  286.58  297.14  297.14  7.4008  0.0000  0.0000   66.93
 181  1307.50    5.00  881.58  881.84  286.59  297.11  297.11  7.4148  0.0000  0.0000   67.01
 180  1302.50    5.00  882.10  882.36  286.61  297.08  297.08  7.4289  0.0000  0.0000   67.09
 179  1297.50    5.00  882.63  882.89  286.63  297.05  297.05  7.4430  0.0000  0.0000   67.17
 178  1292.50    5.00  883.15  883.41  286.65  297.02  297.02  7.4570  0.0000  0.0000   67.25
 177  1287.50    5.00  883.67  883.94  286.67  296.99  296.99  7.4711  0.0000  0.0000   67.33
 176  1282.50    5.00  884.20  884.46  286.69  296.96  296.96  7.4852  0.0000  0.0000   67.41
 175  1277.50    5.00  884.72  884.99  286.71  296.93  296.93  7.4992  0.0000  0.0000   67.49
 174  1272.50    5.00  885.25  885.51  286.73  296.90  296.90  7.5133  0.0000  0.0000   67.57
 173  1267.50    5.00  885.77  886.04  286.75  296.87  296.87  7.5273  0.0000  0.0000   67.65
 172  1262.50    5.00  886.30  886.56  286.77  296.84  296.84  7.5414  0.0000  0.0000   67.73
 171  1257.50    5.00  886.83  887.09  286.79  296.81  296.81  7.5555  0.0000  0.0000   67.81
 170  1252.50    5.00  887.35  887.62  286.81  296.78  296.78  7.5695  0.0000  0.0000   67.89
 169  1247.50    5.00  887.88  888.14  286.83  296.75  296.75  7.5836  0.0000  0.0000   67.97
 168  1242.50    5.00  888.41  888.67  286.85  296.72  296.72  7.5977  0.0000  0.0000   68.05
 167  1237.50    5.00  888.93  889.20  286.87  296.69  296.69  7.6117  0.0000  0.0000   68.13
 166  1232.50    5.00  889.46  889.72  286.89  296.66  296.66  7.6258  0.0000  0.0000   68.21
 165  1227.50    5.00  889.99  890.25  286.91  296.63  296.63  7.6398  0.0000  0.0000   68.29
 164  1222.50    5.00  890.52  890.78  286.93  296.60  296.60  7.6539  0.0000  0.0000   68.37
 163  1217.50    5.00  891.04  891.31  286.95  296.57  296.57  7.6680  0.0000  0.0000   68.45
 162  1212.50    5.00  891.57  891.84  286.97  296.54  296.54  7.6820  0.0000  0.0000   68.52
 161  1207.50    5.00  892.10  892.37  286.99  296.51  296.51  7.6961  0.0000  0.0000   68.60
 160  1202.50    5.00  892.63  892.89  287.00  296.48  296.48  7.7102  0.0000  0.0000   68.68
 159  1197.50    5.00  893.16  893.42  287.02  296.45  296.45  7.7242  0.0000  0.0000   68.76
 158  1192.50    5.00  893.69  893.95  287.04  296.42  296.42  7.7383  0.0000  0.0000   68.84
 157  1187.50    5.00  894.22  894.48  287.06  296.39  296.39  7.7524  0.0000  0.0000   68.91
 156  1182.50    5.00  894.75  895.01  287.08  296.36  296.36  7.7664  0.0000  0.0000   68.99
 155  1177.50    5.00  895.28  895.54  287.10  296.33  296.33  7.7805  0.0000  0.0000   69.07
 154  1172.50    5.00  895.81  896.07  287.12  296.30  296.30  7.7945  0.0000  0.0000   69.15
 153  1167.50    5.00  896.34  896.61  287.14  296.27  296.27  7.8086  0.0000  0.0000   69.23
 152  1162.50    5.00  896.87  897.14  287.16  296.24  296.24  7.8227  0.0000  0.0000   69.30
 151  1157.50    5.00  897.40  897.67  287.18  296.21  296.21  7.8367  0.0000  0.0000   69.38
 150  1152.50    5.00  897.93  898.20  287.20  296.17  296.17  7.8508  0.0000  0.0000   69.46
 149  1147.50    5.00  898.47  898.73  287.22  296.14  296.14  7.8649  0.0000  0.0000   69.54
 148  1142.50    5.00  899.00  899.26  287.24  296.11  296.11  7.8789  0.0000  0.0000   69.61
 147  1137.50    5.00  899.53  899.80  287.26  296.08  296.08  7.8930  0.0000  0.0000   69.69
 146  1132.50    5.00  900.06  900.33  287.28  296.05  296.05  7.9070  0.0000  0.0000   69.77
 145  1127.50    5.00  900.60  900.86  287.30  296.02  296.02  7.9211  0.0000  0.0000   69.84
 144  1122.50    5.00  901.13  901.40  287.32  295.99  295.99  7.9352  0.0000  0.0000   69.92
 143  1117.50    5.00  901.66  901.93  287.33  295.96  295.96  7.9492  0.0000  0.0000   70.00
 142  1112.50    5.00  902.20  902.46  287.35  295.93  295.93  7.9633  0.0000  0.0000   70.07
 141  1107.50    5.00  902.73  903.00  287.37  295.90  295.90  7.9774  0.0000  0.0000   70.15
 140  1102.50    5.00  903.27  903.53  287.39  295.87  295.87  7.9914  0.0000  0.0000   70.23
 139  1097.50    5.00  903.80  904.07  287.41  295.84  295.84  8.0055  0.0000  0.0000   70.30
 138  1092.50    5.00  904.34  904.60  287.43  295.81  295.81  8.0196  0.0000  0.0000   70.38
 137  1087.50    5.00  904.87  905.14  287.45  295.78  295.78  8.0336  0.0000  0.0000   70.45
 136  1082.50    5.00  905.41  905.67  287.47  295.75  295.75  8.0477  0.0000  0.0000   70.53
 135  1077.50    5.00  905.94  906.21  287.49  295.72  295.72  8.0617  0.0000  0.0000   70.61
 134  1072.50    5.00  906.48  906.75  287.51  295.69  295.69  8.0758  0.0000  0.0000   70.68
 133  1067.50    5.00  907.01  907.28  287.53  295.66  295.66  8.0899  0.0000  0.0000   70.76
 132  1062.50    5.00  907.55  907.82  287.55  295.63  295.63  8.1039  0.0000  0.0000   70.83
 131  1057.50    5.00  908.09  908.36  287.57  295.60  295.60  8.1180  0.0000  0.0000   70.91
 130  1052.50    5.00  908.62  908.89  287.59  295.57  295.57  8.1321  0.0000  0.0000   70.98
 129  1047.50    5.00  909.16  909.43  287.61  295.54  295.54  8.1461  0.0000  0.0000   71.06
 128  1042.50    5.00  909.70  909.97  287.62  295.51  295.51  8.1602  0.0000  0.0000   71.13
 127  1037.50    5.00  910.24  910.51  287.64  295.48  295.48  8.1742  0.0000  0.0000   71.21
 126  1032.50    5.00  910.78  911.05  287.66  295.45  295.45  8.1883  0.0000  0.0000   71.28
 125  1027.50    5.00  911.31  911.58  287.68  295.42  295.42  8.2024  0.0000  0.0000   71.36
 124  1022.50    5.00  911.85  912.12  287.70  295.39  295.39  8.2164  0.0000  0.0000   71.43
 123  1017.50    5.00  912.39  912.66  287.72  295.36  295.36  8.2305  0.0000  0.0000   71.51
 122  1012.50    5.00  912.93  913.20  287.74  295.33  295.33  8.2446  0.0000  0.0000   71.58
 121  1007.50    5.00  913.47  913.74  287.76  295.30  295.30  8.2586  0.0000  0.0000   71.66
 120  1002.50    5.00  914.01  914.28  287.78  295.27  295.27  8.2727  0.0000  0.0000   71.73
 119   997.50    5.00  914.55  914.82  287.80  295.24  295.24  8.2868  0.0000  0.0000   71.80
 118   992.50    5.00  915.09  915.36  287.82  295.21  295.21  8.3008  0.0000  0.0000   71.88
 117   987.50    5.00  915.63  915.90  287.84  295.18  295.18  8.3149  0.0000  0.0000   71.95
 116   982.50    5.00  916.17  916.44  287.86  295.15  295.15  8.3289  0.0000  0.0000   72.03
 115   977.50    5.00  916.72  916.99  287.88  295.12  295.12  8.3430  0.0000  0.0000   72.10
 114   972.50    5.00  917.26  917.53  287.89  295.09  295.09  8.3571  0.0000  0.0000   72.17
 113   967.50    5.00  917.80  918.07  287.91  295.06  295.06  8.3711  0.0000  0.0000   72.25
 112   962.50    5.00  918.34  918.61  287.93  295.03  295.03  8.3852  0.0000  0.0000   72.32
 111   957.50    5.00  918.88  919.16  287.95  295.00  295.00  8.3993  0.0000  0.0000   72.39
 110   952.50    5.00  919.43  919.70  287.97  294.97  294.97  8.4133  0.0000  0.0000   72.47
 109   947.50    5.00  919.97  920.24  287.99  294.94  294.94  8.4274  0.0000  0.0000   72.54
 108   942.50    5.00  920.51  920.78  288.01  294.91  294.91  8.4415  0.0000  0.0000   72.61
 107   937.50    5.00  921.06  921.33  288.03  294.88  294.88  8.4555  0.0000  0.0000   72.69
 106   932.50    5.00  921.60  921.87  288.05  294.85  294.85  8.4696  0.0000  0.0000   72.76
 105   927.50    5.00  922.14  922.42  288.07  294.82  294.82  8.4836  0.0000  0.0000   72.83
 104   922.50    5.00  922.69  922.96  288.09  294.79  294.79  8.4977  0.0000  0.0000   72.91
 103   917.50    5.00  923.23  923.51  288.11  294.76  294.76  8.5118  0.0000  0.0000   72.98
 102   912.50    5.00  923.78  924.05  288.12  294.73  294.73  8.5258  0.0000  0.0000   73.05
 101   907.50    5.00  924.32  924.60  288.14  294.70  294.70  8.5399  0.0000  0.0000   73.12
 100   902.50    5.00  924.87  925.14  288.16  294.67  294.67  8.5540  0.0000  0.0000   73.20
  99   897.50    5.00  925.42  925.69  288.18  294.64  294.64  8.5680  0.0000  0.0000   73.27
  98   892.50    5.00  925.96  926.23  288.20  294.61  294.61  8.5821  0.0000  0.0000   73.34
  97   887.50    5.00  926.51  926.78  288.22  294.58  294.58  8.5961  0.0000  0.0000   73.41
  96   882.50    5.00  927.05  927.33  288.24  294.55  294.55  8.6102  0.0000  0.0000   73.49
  95   877.50    5.00  927.60  927.87  288.26  294.52  294.52  8.6243  0.0000  0.0000   73.56
  94   872.50    5.00  928.15  928.42  288.28  294.49  294.49  8.6383  0.0000  0.0000   73.63
  93   867.50    5.00  928.70  928.97  288.30  294.46  294.46  8.6524  0.0000  0.0000   73.70
  92   862.50    5.00  929.24  929.52  288.32  294.43  294.43  8.6665  0.0000  0.0000   73.77
  91   857.50    5.00  929.79  930.07  288.33  294.40  294.40  8.6805  0.0000  0.0000   73.85
  90   852.50    5.00  930.34  930.61  288.35  294.37  294.37  8.6946  0.0000  0.0000   73.92
  89   847.50    5.00  930.89  931.16  288.37  294.34  294.34  8.7087  0.0000  0.0000   73.99
  88   842.50    5.00  931.44  931.71  288.39  294.31  294.31  8.7227  0.0000  0.0000   74.06
  87   837.50    5.00  931.99  932.26  288.41  294.28  294.28  8.7368  0.0000  0.0000   74.13
  86   832.50    5.00  932.54  932.81  288.43  294.25  294.25  8.7508  0.0000  0.0000   74.20
  85   827.50    5.00  933.09  933.36  288.45  294.22  294.22  8.7649  0.0000  0.0000   74.27
  84   822.50    5.00  933.64  933.91  288.47  294.19  294.19  8.7790  0.0000  0.0000   74.34
  83   817.50    5.00  934.19  934.46  288.49  294.16  294.16  8.7930  0.0000  0.0000   74.42
  82   812.50    5.00  934.74  935.01  288.51  294.13  294.13  8.8071  0.0000  0.0000   74.49
  81   807.50    5.00  935.29  935.56  288.53  294.10  294.10  8.8212  0.0000  0.0000   74.56
  80   802.50    5.00  935.84  936.12  288.54  294.07  294.07  8.8352  0.0000  0.0000   74.63
  79   797.50    5.00  936.39  936.67  288.56  294.04  294.04  8.8493  0.0000  0.0000   74.70
  78   792.50    5.00  936.94  937.22  288.58  294.01  294.01  8.8633  0.0000  0.0000   74.77
  77   787.50    5.00  937.49  937.77  288.60  293.98  293.98  8.8774  0.0000  0.0000   74.84
  76   782.50    5.00  938.05  938.32  288.62  293.95  293.95  8.8915  0.0000  0.0000   74.91
  75   777.50    5.00  938.60  938.88  288.64  293.92  293.92  8.9055  0.0000  0.0000   74.98
  74   772.50    5.00  939.15  939.43  288.66  293.89  293.89  8.9196  0.0000  0.0000   75.05
  73   767.50    5.00  939.71  939.98  288.68  293.86  293.86  8.9337  0.0000  0.0000   75.12
  72   762.50    5.00  940.26  940.54  288.70  293.83  293.83  8.9477  0.0000  0.0000   75.19
  71   757.50    5.00  940.81  941.09  288.72  293.80  293.80  8.9618  0.0000  0.0000   75.26
  70   752.50    5.00  941.37  941.64  288.73  293.77  293.77  8.9759  0.0000  0.0000   75.33
  69   747.50    5.00  941.92  942.20  288.75  293.73  293.73  8.9899  0.0000  0.0000   75.40
  68   742.50    5.00  942.48  942.75  288.77  293.70  293.70  9.0040  0.0000  0.0000   75.47
  67   737.50    5.00  943.03  943.31  288.79  293.67  293.67  9.0180  0.0000  0.0000   75.54
  66   732.50    5.00  943.59  943.86  288.81  293.64  293.64  9.0321  0.0000  0.0000   75.61
  65   727.50    5.00  944.14  944.42  288.83  293.61  293.61  9.0462  0.0000  0.0000   75.68
  64   722.50    5.00  944.70  944.97  288.85  293.58  293.58  9.0602  0.0000  0.0000   75.75
  63   717.50    5.00  945.25  945.53  288.87  293.55  293.55  9.0743  0.0000  0.0000   75.82
  62   712.50    5.00  945.81  946.09  288.89  293.52  293.52  9.0884  0.0000  0.0000   75.89
  61   707.50    5.00  946.37  946.64  288.82  293.40  293.40  9.1191  0.0000  0.0000   76.54
  60   702.50    5.00  946.92  947.20  288.32  292.85  292.85  9.2297  0.0000  0.0000   80.06
  59   697.50    5.00  947.48  947.76  287.83  292.30  292.30  9.3403  0.0000  0.0000   83.75
  58   692.50    5.00  948.04  948.32  287.33  291.75  291.75  9.4509  0.0000  0.0000   87.61
  57   687.50    5.00  948.60  948.88  286.83  291.19  291.19  9.5615  0.0000  0.0000   91.64
  56   682.50    5.00  949.17  949.45  286.34  290.64  290.64  9.6721  0.0000  0.0000   95.86
  55   677.50    5.00  949.73  950.01  285.87  290.11  290.09  9.7828  0.0098  0.0000  100.00
  54   672.50    5.00  950.30  950.58  285.79  289.98  289.54  9.8934  0.1757  0.0000  100.01
  53   667.50    5.00  950.86  951.15  285.71  289.85  289.00 10.0040  0.3420  0.0000  100.02
  52   662.50    5.00  951.43  951.71  285.63  289.73  288.45 10.1146  0.5084  0.0000  100.03
  51   657.50    5.00  952.00  952.28  285.58  289.62  288.03 10.2000  0.6362  0.0000  100.02
  50   652.50    5.00  952.57  952.85  285.60  289.59  288.02 10.2000  0.6284  0.0000  100.00
  49   647.50    5.05  953.14  953.43  285.62  289.57  288.02 10.2000  0.6186  0.0000  100.00
  48   642.40    5.30  953.72  954.03  285.65  289.54  288.02 10.2000  0.6087  0.0000  100.00
  47   636.90    5.60  954.35  954.67  285.68  289.52  288.02 10.2000  0.5981  0.0000  100.00
  46   631.20    6.05  955.00  955.36  285.70  289.49  288.02 10.2000  0.5870  0.0000  100.00
  45   624.80    6.65  955.73  956.12  285.73  289.46  288.02 10.2000  0.5746  0.0000  100.00
  44   617.90    7.25  956.52  956.95  285.77  289.42  288.02 10.2000  0.5612  0.0000  100.00
  43   610.30    8.00  957.38  957.86  285.80  289.38  288.02 10.2000  0.5464  0.0000  100.00
  42   601.90    8.75  958.34  958.87  285.84  289.34  288.02 10.2000  0.5301  0.0000  100.00
  41   592.80    9.50  959.39  959.95  285.89  289.30  288.02 10.2000  0.5123  0.0000  100.00
  40   582.90   10.45  960.52  961.15  285.94  289.25  288.02 10.2000  0.4931  0.0000  100.00
  39   571.90   11.45  961.78  962.46  285.99  289.19  288.01 10.2000  0.4716  0.0000  100.00
  38   560.00   12.55  963.15  963.91  286.05  289.13  288.01 10.2000  0.4484  0.0000  100.00
  37   546.80   13.75  964.66  965.49  286.11  289.07  288.01 10.2000  0.4227  0.0000  100.00
  36   532.50   14.65  966.31  967.17  286.18  289.00  288.01 10.2000  0.3947  0.0000  100.00
  35   517.50   15.00  968.04  968.90  286.25  288.92  288.01 10.2000  0.3654  0.0000  100.00
  34   502.50   15.00  969.77  970.63  286.32  288.85  288.01 10.2000  0.3361  0.0000  100.00
  33   487.50   15.00  971.50  972.37  286.40  288.77  288.01 10.2000  0.3067  0.0000  100.00
  32   472.50   15.00  973.23  974.10  286.47  288.70  288.01 10.2000  0.2773  0.0000  100.00
  31   457.50   15.00  974.97  975.84  286.54  288.62  288.00 10.2000  0.2479  0.0000  100.00
  30   442.50   15.00  976.71  977.58  286.61  288.55  288.00 10.2000  0.2184  0.0000  100.00
  29   427.50   15.00  978.45  979.32  286.68  288.48  288.00 10.2000  0.1889  0.0000  100.00
  28   412.50   15.00  980.19  981.06  286.76  288.40  288.00 10.2000  0.1594  0.0000  100.00
  27   397.50   15.00  981.94  982.81  286.83  288.33  288.00 10.2000  0.1298  0.0000  100.00
  26   382.50   15.00  983.68  984.56  286.90  288.25  288.00 10.2000  0.1002  0.0000  100.00
  25   367.50   15.00  985.43  986.31  286.97  288.18  288.00 10.2000  0.0707  0.0000  100.00
  24   352.50   15.00  987.19  988.06  287.04  288.10  288.00 10.2000  0.0411  0.0000  100.00
  23   337.50   15.00  988.94  989.82  287.11  288.03  288.00 10.2000  0.0114  0.0000  100.00
  22   322.50   15.00  990.70  991.58  287.23  288.00  288.00 10.2000  0.0000  0.0000   99.52
  21   307.50   15.00  992.46  993.34  287.38  288.00  288.00 10.2000  0.0000  0.0000   98.75
  20   292.50   15.00  994.22  995.10  287.52  288.00  288.00 10.2000  0.0000  0.0000   97.98
  19   277.50   15.00  995.98  996.86  287.67  288.00  288.00 10.2000  0.0000  0.0000   97.22
  18   262.50   15.00  997.74  998.63  287.81  288.00  288.00 10.2000  0.0000  0.0000   96.47
  17   247.50   15.00  999.51 1000.40  287.96  288.00  288.00 10.2000  0.0000  0.0000   95.72
  16   232.50   15.00 1001.28 1002.17  288.11  288.00  288.00 10.2000  0.0000  0.0000   94.99
  15   217.50   15.00 1003.05 1003.94  288.25  288.00  288.00 10.2000  0.0000  0.0000   94.25
  14   202.50   15.00 1004.83 1005.72  288.40  288.00  288.00 10.2000  0.0000  0.0000   93.53
  13   187.50   15.00 1006.60 1007.49  288.54  288.00  288.00 10.2000  0.0000  0.0000   92.81
  12   172.50   15.00 1008.38 1009.27  288.69  288.00  288.00 10.2000  0.0000  0.0000   92.09
  11   157.50   15.00 1010.16 1011.06  288.83  288.00  288.00 10.2000  0.0000  0.0000   91.39
  10   142.50   15.00 1011.95 1012.84  288.98  288.00  288.00 10.2000  0.0000  0.0000   90.69
   9   127.50   15.00 1013.73 1014.63  289.13  288.00  288.00 10.2000  0.0000  0.0000   89.99
   8   112.50   15.00 1015.52 1016.42  289.27  288.00  288.00 10.2000  0.0000  0.0000   89.30
   7    97.50   15.00 1017.31 1018.21  289.42  288.00  288.00 10.2000  0.0000  0.0000   88.62
   6    82.50   15.00 1019.10 1020.00  289.56  288.00  288.00 10.2000  0.0000  0.0000   87.94
   5    67.50   15.00 1020.90 1021.80  289.71  288.00  288.00 10.2000  0.0000  0.0000   87.27
   4    52.50   15.00 1022.69 1023.59  289.85  288.00  288.00 10.2000  0.0000  0.0000   86.61
   3    37.50   15.00 1024.49 1025.39  290.00  288.00  288.00 10.2000  0.0000  0.0000   85.95
   2    22.50   13.50 1026.29 1027.02  290.15  288.00  288.00 10.2000  0.0000  0.0000   85.29
   1    10.50   16.50 1027.74 1029.00  290.26  288.00  288.00 10.2000  0.0000  0.0000   84.78
