   k      z      dz     pres   presi   Tabs     tp     tpl      qt      Qc     Qi    REL
 451  2657.50    5.00  749.61  749.84  280.04  304.09  304.09  3.6267  0.0000  0.0000   43.39
 450  2652.50    5.00  750.07  750.30  280.07  304.07  304.07  3.6392  0.0000  0.0000   43.47
 449  2647.50    5.00  750.53  750.76  280.10  304.05  304.05  3.6517  0.0000  0.0000   43.56
 448  2642.50    5.00  750.99  751.21  280.13  304.03  304.03  3.6642  0.0000  0.0000   43.65
 447  2637.50    5.00  751.44  751.67  280.16  304.01  304.01  3.6778  0.0000  0.0000   43.75
 446  2632.50    5.00  751.90  752.13  280.19  303.99  303.99  3.6918  0.0000  0.0000   43.85
 445  2627.50    5.00  752.36  752.59  280.22  303.97  303.97  3.7058  0.0000  0.0000   43.95
 444  2622.50    5.00  752.82  753.04  280.25  303.95  303.95  3.7199  0.0000  0.0000   44.05
 443  2617.50    5.00  753.27  753.50  280.28  303.93  303.93  3.7339  0.0000  0.0000   44.15
 442  2612.50    5.00  753.73  753.96  280.31  303.91  303.91  3.7479  0.0000  0.0000   44.25
 441  2607.50    5.00  754.19  754.42  280.34  303.89  303.89  3.7620  0.0000  0.0000   44.35
 440  2602.50    5.00  754.65  754.88  280.37  303.87  303.87  3.7760  0.0000  0.0000   44.45
 439  2597.50    5.00  755.11  755.34  280.40  303.85  303.85  3.7900  0.0000  0.0000   44.55
 438  2592.50    5.00  755.57  755.80  280.43  303.83  303.83  3.8041  0.0000  0.0000   44.65
 437  2587.50    5.00  756.03  756.26  280.46  303.81  303.81  3.8181  0.0000  0.0000   44.75
 436  2582.50    5.00  756.49  756.72  280.49  303.79  303.79  3.8321  0.0000  0.0000   44.85
 435  2577.50    5.00  756.95  757.18  280.52  303.77  303.77  3.8462  0.0000  0.0000   44.95
 434  2572.50    5.00  757.41  757.64  280.55  303.75  303.75  3.8602  0.0000  0.0000   45.05
 433  2567.50    5.00  757.87  758.10  280.58  303.73  303.73  3.8742  0.0000  0.0000   45.14
 432  2562.50    5.00  758.33  758.56  280.61  303.71  303.71  3.8882  0.0000  0.0000   45.24
 431  2557.50    5.00  758.79  759.02  280.64  303.69  303.69  3.9023  0.0000  0.0000   45.34
 430  2552.50    5.00  759.25  759.48  280.67  303.66  303.66  3.9163  0.0000  0.0000   45.43
 429  2547.50    5.00  759.71  759.94  280.70  303.64  303.64  3.9303  0.0000  0.0000   45.53
 428  2542.50    5.00  760.17  760.40  280.73  303.62  303.62  3.9444  0.0000  0.0000   45.62
